ID	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16
s__Bacteroides_species1	2079	2075	2053	2075	2124	2088	2102	2087	2102	2068	2056	2046	2060	2054	2088	2085
s__Prevotella_species1	2053	2077	2085	2063	2100	2069	2095	2078	2065	2067	2083	2125	2103	2077	2103	2078
s__Parabacteroides_species1	2081	2058	2111	2074	2110	2069	2061	2087	2063	2081	2092	2058	2081	2078	2078	2084
s__Alistipes_species1	2080	2079	2073	2080	2076	2114	2115	2089	2067	2067	2073	2095	2088	2087	2122	2093
s__Faecalibacterium_species1	299	289	263	278	278	278	285	309	305	259	259	260	269	288	256	288
s__Blautia_species1	263	275	266	289	268	323	266	288	284	276	269	270	284	286	247	275
s__Ruminococcus_species1	278	297	285	293	307	265	289	283	299	295	241	270	276	274	307	275
s__Roseburia_species1	268	274	274	259	295	281	298	287	290	289	289	305	292	280	314	300
s__Clostridium_species1	259	267	271	270	276	283	298	297	282	261	270	304	269	293	279	260
s__Veillonella_species1	263	282	263	262	307	270	314	313	281	274	285	266	263	285	285	266
s__Eubacterium_species1	263	281	286	254	289	294	258	270	258	297	289	268	306	295	317	258
s__Escherichia_species1	289	275	277	290	252	283	297	273	302	268	271	252	292	255	280	279
s__Klebsiella_species1	314	260	301	284	280	279	292	250	297	287	274	266	247	251	267	251
s__Bifidobacterium_species1	304	284	279	275	275	275	272	291	267	295	272	254	246	299	270	295
s__Akkermansia_species1	252	302	279	315	282	303	247	276	312	289	259	293	277	245	289	303
