	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16
K00001: KO description 1	41	56	65	46	60	45	44	52	45	52	58	43	49	56	51	40
K00002: KO description 2	48	39	50	41	52	50	47	52	49	48	53	43	45	38	41	57
K00003: KO description 3	39	37	44	44	51	64	56	57	50	45	64	44	56	44	47	58
K00004: KO description 4	49	58	46	40	59	51	44	46	56	55	46	44	48	38	44	39
K00005: KO description 5	58	65	53	49	38	52	54	44	48	47	58	65	50	39	54	57
K00006: KO description 6	46	68	52	67	70	38	52	46	44	55	39	57	59	50	41	59
K00007: KO description 7	53	39	49	59	51	59	49	49	50	51	66	60	37	47	44	45
K00008: KO description 8	52	36	51	46	47	51	68	41	46	49	51	58	42	48	52	47
K00009: KO description 9	47	61	55	55	49	49	42	42	57	38	62	45	45	53	52	52
K00010: KO description 10	50	64	53	63	42	59	45	46	71	52	47	50	54	49	70	49
K00011: KO description 11	55	49	48	56	62	56	56	55	54	47	45	48	51	45	39	33
K00012: KO description 12	52	52	37	54	51	61	48	49	41	53	59	43	48	48	47	59
